Issue ID,Summary,Issue Type,Parent ID,Labels,Description
30,Configurar drizzle.config.ts,Subtask,28,Backend,
31,Criar migration inicial e validar,Subtask,28,Backend,
32,Criar script de seed com conta OWNER admin,Subtask,28,Backend,
33,Rodar seed e validar no banco,Subtask,28,Backend,
34,🔐 Módulo - Auth (Login JWT RBAC/Permissões no Fastify; Telas Store do usuário interceptors HTTP e Middlewares de rota protegida no Nuxt),Epic,,,
35,[AUTH-01] Backend — Schema de professionals (auth),Task,34,Backend,"Criar tabela professionals no Drizzle com campos de autenticação (id name cpf phone passwordHash role isActive timestamps)."
36,Criar tabela no Drizzle (id serial name cpf phone password_hash role is_active timestamps),Subtask,35,Backend,
37,Criar Zod schemas (telefone normalize CPF),Subtask,35,Backend,
38,Gerar migration e aplicar,Subtask,35,Backend,
39,Adicionar índices únicos em cpf e phone,Subtask,35,Backend,
40,[AUTH-02] Backend — Rotas de autenticação,Task,34,Backend,"Login refresh logout com JWT + cookies HttpOnly (access_token 15min refresh_token 30 dias)."
41,Estruturar módulo Fastify api/src/modules/auth/,Subtask,40,Backend,
42,Implementar POST /api/auth/login (bcrypt),Subtask,40,Backend,
43,Implementar POST /api/auth/refresh,Subtask,40,Backend,
44,Implementar POST /api/auth/logout,Subtask,40,Backend,
45,Configurar cookies HttpOnly SameSite Secure,Subtask,40,Backend,
46,[AUTH-03] Backend — JWT plugin + middleware de autorização,Task,34,Backend,"Plugin Fastify que decodifica JWT do cookie e middlewares requireAuth requireRole."
47,Plugin decodifica JWT do cookie access_token,Subtask,46,Backend,
48,Injetar request.user nas rotas,Subtask,46,Backend,
49,Criar middleware requireAuth (401),Subtask,46,Backend,
50,Criar middleware requireRole('OWNER') (403),Subtask,46,Backend,
51,Criar middleware requireRole('OWNER' 'PARTNER'),Subtask,46,Backend,
52,[AUTH-04] Backend — RBAC com CASL.js,Task,34,Backend,"Fábrica de abilities para OWNER (manage all) e PARTNER (regras granulares: appointments services clients blocks)."
53,Instalar @casl/ability,Subtask,52,Backend,
54,Implementar createAbility(role professionalId),Subtask,52,Backend,
55,Regras OWNER: manage all,Subtask,52,Backend,
56,Regras PARTNER por entidade,Subtask,52,Backend,
57,Service layer oculta price para appointments de outras,Subtask,52,Backend,
58,Integrar ability nos services,Subtask,52,Backend,
59,[AUTH-05] Frontend — Tela de login,Task,34,Frontend,"Página /login com formulário telefone+senha PhoneInput validação Zod e redirect."
60,Criar página /login com formulário,Subtask,59,Frontend,
61,Criar componente PhoneInput com máscara,Subtask,59,Frontend,
62,Criar utility web/utils/phone.ts,Subtask,59,Frontend,
63,Validar formulário com Zod,Subtask,59,Frontend,
64,Exibir erro genérico,Subtask,59,Frontend,
65,Redirecionar para /dashboard/agenda,Subtask,59,Frontend,
66,[AUTH-06] Frontend — Store de auth + proteção de rotas,Task,34,Frontend,"Store Pinia auth, plugin Nuxt intercepta 401, middlewares auth/owner, wrapper API e ConfirmDialog."
67,Criar store Pinia auth (user role login logout refresh),Subtask,66,Frontend,
68,Plugin Nuxt intercepta 401 e refresh,Subtask,66,Frontend,
69,Middleware auth (redirect /login),Subtask,66,Frontend,
70,Middleware owner (redirect se não OWNER),Subtask,66,Frontend,
71,Wrapper API web/utils/api.ts,Subtask,66,Frontend,
72,Componente ConfirmDialog,Subtask,66,Frontend,
73,👩 Módulo - Partner (CRUD esquemas do Drizzle e rotas de bloqueio de agenda no Fastify; Listagem tabelas e modais de criação/edição de profissionais no Dashboard em Nuxt),Epic,,,
74,[PARTNER-01] Backend — Schema de professionals (completo),Task,73,Backend,"Adicionar workHoursStart e workHoursEnd ao schema Auth (default 08:00 20:00)."
75,Estender schema Auth com workHoursStart (default 08:00),Subtask,74,Backend,
76,Estender com workHoursEnd (default 20:00),Subtask,74,Backend,
77,Gerar migration e aplicar,Subtask,74,Backend,
78,[PARTNER-02] Backend — CRUD de profissionais,Task,73,Backend,"GET POST PUT toggle-active com RBAC (OWNER: todas; PARTNER: só própria)."
79,Estruturar módulo Fastify api/src/modules/partner/,Subtask,78,Backend,
80,GET /api/professionals (OWNER: todas; PARTNER: só própria),Subtask,78,Backend,
81,POST /api/professionals (OWNER only),Subtask,78,Backend,
82,PUT /api/professionals/:id (por role),Subtask,78,Backend,
83,PATCH toggle-active (OWNER only),Subtask,78,Backend,
84,Validar CPF e phone únicos,Subtask,78,Backend,
85,[PARTNER-03] Backend — CRUD de bloqueios de agenda,Task,73,Backend,"Schema blocks + GET POST DELETE com validações EDGE-02 (overlap block) e EDGE-03 (overlap appointment)."
86,Criar tabela blocks no Drizzle (id professionalId FK startTime endTime reason),Subtask,85,Backend,
87,Gerar migration e aplicar,Subtask,85,Backend,
88,GET /api/blocks com filtro,Subtask,85,Backend,
89,POST /api/blocks (OWNER: qualquer; PARTNER: só próprio),Subtask,85,Backend,
90,DELETE /api/blocks/:id (sem soft delete),Subtask,85,Backend,
91,Validação EDGE-02 (overlap block),Subtask,85,Backend,
92,Validação EDGE-03 (overlap appointment),Subtask,85,Backend,
93,[PARTNER-04] Frontend — Tela de gestão de profissionais,Task,73,Frontend,"Página /dashboard/profissionais com CRUD completo ativação/desativação e edição por role."
94,Criar página /dashboard/profissionais (OWNER only),Subtask,93,Frontend,
95,Listar com status ativo/inativo,Subtask,93,Frontend,
96,Modal de criação (nome CPF phone senha horários),Subtask,93,Frontend,
97,Modal de edição (por role),Subtask,93,Frontend,
98,Botão ativar/desativar,Subtask,93,Frontend,
99,PARTNER vê card próprio,Subtask,93,Frontend,
100,[PARTNER-05] Frontend — Bloqueios de agenda,Task,73,Frontend,"Componente BlockForm integrado ao calendário com atalho dia inteiro e warning de conflitos."
101,Criar formulário BlockForm (data hora início/fim dia inteiro razão),Subtask,100,Frontend,
102,Integrar no calendário do dashboard,Subtask,100,Frontend,
103,Bloqueios visuais no WeeklyCalendar,Subtask,100,Frontend,
104,Warning se houver appointments conflitantes,Subtask,100,Frontend,
105,💇 Módulo - Services (CRUD de serviços preços durações e vínculos no Fastify; Telas de catálogo e formulários de associação no Nuxt),Epic,,,
106,[SERVICES-01] Backend — Schema de services,Task,105,Backend,"Criar tabela services no Drizzle (id professionalId FK name durationMinutes price description isActive timestamps)."
107,Criar tabela services (id professionalId FK name durationMinutes price description isActive timestamps),Subtask,106,Backend,
108,Gerar migration e aplicar,Subtask,106,Backend,
109,Índice em professionalId,Subtask,106,Backend,
110,[SERVICES-02] Backend — CRUD de serviços,Task,105,Backend,"GET POST PUT DELETE com soft delete se vinculado e RBAC (OWNER: todas; PARTNER: só próprios)."
111,Estruturar módulo Fastify api/src/modules/services/,Subtask,110,Backend,
112,GET /api/services com filtro,Subtask,110,Backend,
113,POST /api/services (OWNER: any; PARTNER: own),Subtask,110,Backend,
114,PUT /api/services/:id (mesma regra),Subtask,110,Backend,
115,DELETE (soft delete se vinculado físico se não),Subtask,110,Backend,
116,Aplicar RBAC,Subtask,110,Backend,
117,[SERVICES-03] Frontend — Tela de gestão de serviços,Task,105,Frontend,"Página /dashboard/servicos com CRUD completo e visibilidade por role."
118,Criar página /dashboard/servicos,Subtask,117,Frontend,
119,OWNER vê todas PARTNER vê só próprios,Subtask,117,Frontend,
120,Modal de criação (nome duração valor descrição profissional),Subtask,117,Frontend,
121,Modal de edição,Subtask,117,Frontend,
122,Exclusão com confirmação,Subtask,117,Frontend,
123,👤 Módulo - Clients (Tabela de clientes e APIs de busca no Fastify; Interface de gestão do Dashboard no Nuxt),Epic,,,
124,[CLIENTS-01] Backend — Schema de clients,Task,123,Backend,"Criar tabela clients no Drizzle (id name phone unique timestamps)."
125,Criar tabela clients (id name phone unique timestamps),Subtask,124,Backend,
126,Gerar migration e aplicar,Subtask,124,Backend,
127,Índice único em phone,Subtask,124,Backend,
128,[CLIENTS-02] Backend — CRUD de clientes,Task,123,Backend,"GET POST PUT history com RBAC (PARTNER read-only) e normalização de telefone."
129,Estruturar módulo Fastify api/src/modules/clients/,Subtask,128,Backend,
130,GET /api/clients?q= (busca nome/phone),Subtask,128,Backend,
131,POST /api/clients (OWNER only),Subtask,128,Backend,
132,PUT /api/clients/:id (OWNER only),Subtask,128,Backend,
133,GET /api/clients/:id/history (OWNER: all; PARTNER: own),Subtask,128,Backend,
134,Normalização de telefone,Subtask,128,Backend,
135,[CLIENTS-03] Frontend — Tela de gestão de clientes,Task,123,Frontend,"Página /dashboard/clientes com busca CRUD e histórico de atendimentos."
136,Criar página /dashboard/clientes com listagem e busca,Subtask,135,Frontend,
137,Componente ClientSearch (autocomplete debounce),Subtask,135,Frontend,
138,Modal de criação (OWNER only),Subtask,135,Frontend,
139,Modal de edição (OWNER only),Subtask,135,Frontend,
140,Exibir histórico de atendimentos,Subtask,135,Frontend,
141,PARTNER vê lista sem criar/editar,Subtask,135,Frontend,
142,📅 Módulo - Booking (Motor de agendamentos/appointments e SSE no Fastify; Landing Page fluxo multi-step e calendário em tempo real no Nuxt; Evolution API para WhatsApp),Epic,,,
143,[BOOKING-01] Backend — Schema de appointments,Task,142,Backend,"Criar tabela appointments no Drizzle (id professionalId FK clientId FK serviceId FK startTime endTime status notes cancelledBy FK timestamps)."
144,Criar tabela appointments (id professionalId FK clientId FK serviceId FK startTime endTime status notes cancelledBy FK timestamps),Subtask,143,Backend,
145,Gerar migration e aplicar,Subtask,143,Backend,
146,Índices em professionalId + startTime,Subtask,143,Backend,
147,[BOOKING-02] Backend — CRUD de agendamentos,Task,142,Backend,"GET POST PUT com RBAC ocultação de preço para PARTNER ver outras e validação EDGE-07 (startTime no passado)."
148,Estruturar módulo Fastify api/src/modules/booking/appointments/,Subtask,147,Backend,
149,GET com filtro período,Subtask,147,Backend,
150,Service layer oculta price para PARTNER ver outras,Subtask,147,Backend,
151,POST calcula endTime,Subtask,147,Backend,
152,PUT valida EDGE-07 (422 se passado),Subtask,147,Backend,
153,Aplicar RBAC,Subtask,147,Backend,
154,[BOOKING-03] Backend — Transação com checagem de conflito,Task,142,Backend,"db.transaction() com SELECT appointments+blocks conflitantes e 409 com sugestões de horários alternativos."
155,Envolver POST em db.transaction(),Subtask,154,Backend,
156,SELECT appointments + blocks conflitantes,Subtask,154,Backend,
157,Conflito: ROLLBACK + 409 + sugestões,Subtask,154,Backend,
158,Livre: INSERT + COMMIT,Subtask,154,Backend,
159,[BOOKING-04] Backend — Cancelar e alterar status,Task,142,Backend,"PATCH cancel (OWNER: any; PARTNER: own) e PATCH status (completed no_show)."
160,PATCH /api/appointments/:id/cancel (OWNER: any; PARTNER: own),Subtask,159,Backend,
161,Passado mantém ocupado futuro libera,Subtask,159,Backend,
162,PATCH /api/appointments/:id/status (completed no_show),Subtask,159,Backend,
163,Status cancelled não alterável,Subtask,159,Backend,
164,[BOOKING-05] Backend — SSE (tempo real),Task,142,Backend,"Endpoint GET /api/sse com event emitter singleton heartbeat 30s e eventos de appointment/block."
165,Implementar GET /api/sse (cookie auth),Subtask,164,Backend,
166,SSE event emitter singleton (professionalId -> connections),Subtask,164,Backend,
167,Heartbeat 30s,Subtask,164,Backend,
168,"Eventos: appointment.created/updated/cancelled, block.created/deleted",Subtask,164,Backend,
169,OWNER recebe de todas,Subtask,164,Backend,
170,Cleanup conexões,Subtask,164,Backend,
171,[BOOKING-06] Backend — Verificação WhatsApp,Task,142,Backend,"EvolutionAPI + send-code (6 dígitos TTL 10min cooldown 60s) + verify-code + tabela verification_codes."
172,Criar tabela verification_codes,Subtask,171,Backend,
173,Integrar EvolutionAPI (env vars),Subtask,171,Backend,
174,"POST /api/booking/send-code (6 dígitos TTL 10min cooldown 60s)",Subtask,171,Backend,
175,POST /api/booking/verify-code (valida marca usado token cookie),Subtask,171,Backend,
176,"Offline: log + 503",Subtask,171,Backend,
177,[BOOKING-07] Backend — Listagens públicas do booking,Task,142,Backend,"GET /api/booking/professionals GET /api/booking/professionals/:id/services GET /api/booking/available-slots (sem auth)."
178,GET /api/booking/professionals (isActive sem auth),Subtask,177,Backend,
179,GET /api/booking/professionals/:id/services (isActive sem auth),Subtask,177,Backend,
180,GET /api/booking/available-slots (service_id obrigatório),Subtask,177,Backend,
181,"Algoritmo: workHours - appointments - blocks",Subtask,177,Backend,
182,[BOOKING-08] Backend — Criação e cancelamento pelo cliente,Task,142,Backend,"POST /api/booking/appointments (token efêmero) lookup por phone e cancel com validação."
183,POST /api/booking/appointments (token cookie cria cliente se novo re-checa 409 alternativas),Subtask,182,Backend,
184,POST /api/booking/appointments/lookup (phone),Subtask,182,Backend,
185,POST /api/booking/appointments/:id/cancel (phone valida futuro),Subtask,182,Backend,
186,Emitir SSE,Subtask,182,Backend,
187,[BOOKING-09] Frontend — Landing page (SSR),Task,142,Frontend,"Página / com SSR SEO seções Hero Serviços Sobre Contato TailwindCSS."
188,Criar página / com SSR (SEO),Subtask,187,Frontend,
189,Seções Hero Serviços Sobre Contato,Subtask,187,Frontend,
190,Estilizar com TailwindCSS,Subtask,187,Frontend,
191,Link Agende seu horário -> /agendar,Subtask,187,Frontend,
192,Link Área da Profissional -> /login,Subtask,187,Frontend,
193,[BOOKING-10] Frontend — Store de booking,Task,142,Frontend,"Store Pinia com todo o estado do fluxo multi-step (step phone verified selections appointments)."
194,Criar store Pinia booking (step phone verified selectedProfessional selectedService selectedSlot),Subtask,193,Frontend,
195,"Actions: sendCode verifyCode fetchProfessionals fetchServices fetchSlots confirmAppointment lookupAppointments cancelAppointment",Subtask,193,Frontend,
196,[BOOKING-11] Frontend — Fluxo de autoatendimento (multi-step),Task,142,Frontend,"6 páginas do fluxo de agendamento do cliente: phone verify profissional servico horario confirmar."
197,Página /agendar (PhoneInput envia código WhatsApp),Subtask,196,Frontend,
198,Página /agendar/verify (6 dígitos + reenviar cooldown 60s),Subtask,196,Frontend,
199,Página /agendar/profissional (lista profissionais ativas),Subtask,196,Frontend,
200,Página /agendar/servico (lista serviços nome duração valor),Subtask,196,Frontend,
201,Página /agendar/horario (calendário com slots disponíveis),Subtask,196,Frontend,
202,Página /agendar/confirmar (resumo + confirmar),Subtask,196,Frontend,
203,Tratar erro 409 exibir alternativas,Subtask,196,Frontend,
204,Tela de confirmação pós-agendamento,Subtask,196,Frontend,
205,[BOOKING-12] Frontend — Meus agendamentos (cliente),Task,142,Frontend,"Página /agendar/meus-agendamentos com campo phone lista futuros e cancelamento."
206,Página /agendar/meus-agendamentos (campo phone),Subtask,205,Frontend,
207,Listar appointments futuros do cliente,Subtask,205,Frontend,
208,Botão cancelar com ConfirmDialog,Subtask,205,Frontend,
209,"Nenhum agendamento encontrado se lista vazia",Subtask,205,Frontend,
210,"Agendamento já realizado se tentar cancelar passado",Subtask,205,Frontend,
211,[BOOKING-13] Frontend — Calendário do dashboard,Task,142,Frontend,"WeeklyCalendar (v-calendar slots 15min) AppointmentForm BlockForm store calendar useSSE NotificationBadge."
212,Componente WeeklyCalendar (v-calendar 15min slots coloridos por profissional),Subtask,211,Frontend,
213,Store Pinia calendar (currentWeekStart appointments blocks professionalFilter fetchWeek navigateWeek),Subtask,211,Frontend,
214,Composable useSSE (EventSource dispatch para stores reconnect com backoff),Subtask,211,Frontend,
215,NotificationBadge (sino com contagem via SSE),Subtask,211,Frontend,
216,Modal AppointmentForm (cliente search + serviço dropdown + data/hora),Subtask,211,Frontend,
217,Click slot cria; click evento edita/cancela,Subtask,211,Frontend,
218,SSE atualiza calendário em tempo real,Subtask,211,Frontend,
219,[BOOKING-14] Frontend — Páginas do dashboard,Task,142,Frontend,"Páginas /dashboard/agenda /dashboard/financeiro (OWNER only) e layout com menu lateral."
220,Página /dashboard/agenda (WeeklyCalendar + AppointmentForm + BlockForm),Subtask,219,Frontend,
221,Página /dashboard/financeiro (OWNER only visão agregada),Subtask,219,Frontend,
222,Layout do dashboard (menu lateral header NotificationBadge),Subtask,219,Frontend,
223,Navegação entre páginas do dashboard,Subtask,219,Frontend,
